No.,Students_Name,GWA,preBoardLETscore
1,Emma Davis,1.61,64.6
2,Jack Wilson,1.73,56.8
3,Samantha Lee,1.73,70
4,Luke Garcia,1.62,61.2
5,Olivia Smith,1.78,64.31
6,Nathan Clark,1.84,70.97
7,Isabella Brown,1.93,54.4
8,Daniel Johnson,1.84,73.1
9,Ava Taylor,1.57,78.4
10,Ethan Rodriguez,1.73,64.38
11,Emily Thompson,1.38,71.6
12,William Martinez,1.63,61.4
13,Mia Hernandez,1.56,78.4
14,Benjamin Wright,1.48,73.13
15,Sophia Jackson,1.7,71
16,Alexander Davis,1.61,66.4
17,Chloe Lee,1.57,72.31
18,Michael Wilson,1.68,68.37
19,Charlotte Gonzalez,1.46,74.6
20,Samuel Perez,1.37,79.92
